EventID,AssetID,FailureDate,FailureModeID,DowntimeStart,DowntimeEnd,DowntimeHours,RepairHours,FailureCause,FailureConsequence,RepairCost,ProductionLoss,IsRepeatFailure,DataOrigin,IsIllustrative
1,LNG-PMP-016,2015-01-02,1,2015-01-02 03:00:00,2015-01-02 11:00:00,8.0,6.4,Maintenance,Medium,8000.0,24000.0,False,Direct/Mapped/Derived/Estimated/Simulated from public Azure PdM event-level failures,True
2,LNG-PMP-016,2015-01-02,4,2015-01-02 03:00:00,2015-01-02 19:00:00,16.0,12.8,Installation,Medium,12000.0,48000.0,False,Direct/Mapped/Derived/Estimated/Simulated from public Azure PdM event-level failures,True
3,LNG-CMP-017,2015-01-02,3,2015-01-02 03:00:00,2015-01-03 03:00:00,24.0,19.2,Operation,High,22000.0,120000.0,False,Direct/Mapped/Derived/Estimated/Simulated from public Azure PdM event-level failures,True
4,LNG-CMP-022,2015-01-02,1,2015-01-02 03:00:00,2015-01-02 11:00:00,8.0,6.4,Maintenance,High,12000.0,40000.0,False,Direct/Mapped/Derived/Estimated/Simulated from public Azure PdM event-level failures,True
5,LNG-CWP-035,2015-01-02,1,2015-01-02 03:00:00,2015-01-02 11:00:00,8.0,6.4,Maintenance,Medium,8000.0,24000.0,False,Direct/Mapped/Derived/Estimated/Simulated from public Azure PdM event-level failures,True
6,LNG-CWP-045,2015-01-02,1,2015-01-02 03:00:00,2015-01-02 11:00:00,8.0,6.4,Maintenance,Medium,8000.0,24000.0,False,Direct/Mapped/Derived/Estimated/Simulated from public Azure PdM event-level failures,True
7,LNG-PMP-051,2015-01-02,1,2015-01-02 03:00:00,2015-01-02 11:00:00,8.0,6.4,Maintenance,Medium,8000.0,24000.0,False,Direct/Mapped/Derived/Estimated/Simulated from public Azure PdM event-level failures,True
8,LNG-PMP-056,2015-01-02,4,2015-01-02 03:00:00,2015-01-02 19:00:00,16.0,12.8,Installation,Medium,12000.0,48000.0,False,Direct/Mapped/Derived/Estimated/Simulated from public Azure PdM event-level failures,True
9,LNG-MTR-058,2015-01-02,2,2015-01-02 03:00:00,2015-01-02 11:00:00,8.0,6.4,Maintenance,Medium,4000.0,16000.0,False,Direct/Mapped/Derived/Estimated/Simulated from public Azure PdM event-level failures,True
10,LNG-GEN-059,2015-01-02,1,2015-01-02 03:00:00,2015-01-02 11:00:00,8.0,6.4,Maintenance,Medium,10000.0,12000.0,False,Direct/Mapped/Derived/Estimated/Simulated from public Azure PdM event-level failures,True
11,LNG-MTR-073,2015-01-02,2,2015-01-02 03:00:00,2015-01-02 11:00:00,8.0,6.4,Maintenance,Medium,4000.0,16000.0,False,Direct/Mapped/Derived/Estimated/Simulated from public Azure PdM event-level failures,True
12,LNG-GEN-079,2015-01-02,1,2015-01-02 03:00:00,2015-01-02 11:00:00,8.0,6.4,Maintenance,Medium,10000.0,12000.0,False,Direct/Mapped/Derived/Estimated/Simulated from public Azure PdM event-level failures,True
13,LNG-CWP-080,2015-01-02,2,2015-01-02 03:00:00,2015-01-02 11:00:00,8.0,6.4,Maintenance,Medium,5000.0,24000.0,False,Direct/Mapped/Derived/Estimated/Simulated from public Azure PdM event-level failures,True
14,LNG-MTR-083,2015-01-02,3,2015-01-02 03:00:00,2015-01-03 03:00:00,24.0,19.2,Operation,High,10000.0,48000.0,False,Direct/Mapped/Derived/Estimated/Simulated from public Azure PdM event-level failures,True
15,LNG-PMP-086,2015-01-02,1,2015-01-02 03:00:00,2015-01-02 11:00:00,8.0,6.4,Maintenance,Medium,8000.0,24000.0,False,Direct/Mapped/Derived/Estimated/Simulated from public Azure PdM event-level failures,True
16,LNG-CMP-087,2015-01-02,1,2015-01-02 03:00:00,2015-01-02 11:00:00,8.0,6.4,Maintenance,High,12000.0,40000.0,False,Direct/Mapped/Derived/Estimated/Simulated from public Azure PdM event-level failures,True
17,LNG-GEN-094,2015-01-02,3,2015-01-02 03:00:00,2015-01-03 03:00:00,24.0,19.2,Operation,High,16000.0,36000.0,False,Direct/Mapped/Derived/Estimated/Simulated from public Azure PdM event-level failures,True
18,LNG-GEN-099,2015-01-02,4,2015-01-02 03:00:00,2015-01-02 19:00:00,16.0,12.8,Installation,Medium,15000.0,24000.0,False,Direct/Mapped/Derived/Estimated/Simulated from public Azure PdM event-level failures,True
19,LNG-GEN-024,2015-01-02,1,2015-01-02 06:00:00,2015-01-02 14:00:00,8.0,6.4,Maintenance,Medium,10000.0,12000.0,False,Direct/Mapped/Derived/Estimated/Simulated from public Azure PdM event-level failures,True
20,LNG-MTR-073,2015-01-02,4,2015-01-02 06:00:00,2015-01-02 22:00:00,16.0,12.8,Installation,Medium,10000.0,32000.0,False,Direct/Mapped/Derived/Estimated/Simulated from public Azure PdM event-level failures,True
21,LNG-PMP-081,2015-01-02,1,2015-01-02 06:00:00,2015-01-02 14:00:00,8.0,6.4,Maintenance,Medium,8000.0,24000.0,False,Direct/Mapped/Derived/Estimated/Simulated from public Azure PdM event-level failures,True
22,LNG-CWP-020,2015-01-04,2,2015-01-04 06:00:00,2015-01-04 14:00:00,8.0,6.4,Maintenance,Medium,5000.0,24000.0,False,Direct/Mapped/Derived/Estimated/Simulated from public Azure PdM event-level failures,True
23,LNG-CMP-037,2015-01-04,3,2015-01-04 06:00:00,2015-01-05 06:00:00,24.0,19.2,Operation,High,22000.0,120000.0,False,Direct/Mapped/Derived/Estimated/Simulated from public Azure PdM event-level failures,True
24,LNG-CWP-040,2015-01-04,4,2015-01-04 06:00:00,2015-01-04 22:00:00,16.0,12.8,Installation,Medium,12000.0,48000.0,False,Direct/Mapped/Derived/Estimated/Simulated from public Azure PdM event-level failures,True
25,LNG-PMP-001,2015-01-05,3,2015-01-05 06:00:00,2015-01-06 06:00:00,24.0,19.2,Operation,High,14000.0,72000.0,False,Direct/Mapped/Derived/Estimated/Simulated from public Azure PdM event-level failures,True
26,LNG-MTR-023,2015-01-05,2,2015-01-05 06:00:00,2015-01-05 14:00:00,8.0,6.4,Maintenance,Medium,4000.0,16000.0,False,Direct/Mapped/Derived/Estimated/Simulated from public Azure PdM event-level failures,True
