WorkOrderID,AssetID,MaintenanceDate,ActionID,MaintenanceType,LaborHours,PartsCost,TotalCost,WorkOrderStatus,CompletionDate,PerformedBy,DataOrigin,IsIllustrative
1,LNG-PMP-001,2014-06-01,2,Preventive,4.0,3300.0,3900.0,Completed,2014-06-01,Mechanical Team A,Direct/Mapped/Derived/Inferred/Simulated from public Azure PdM maintenance events,True
2,LNG-PMP-006,2014-06-01,2,Preventive,4.0,3300.0,3900.0,Completed,2014-06-01,Mechanical Team B,Direct/Mapped/Derived/Inferred/Simulated from public Azure PdM maintenance events,True
3,LNG-GEN-009,2014-06-01,1,Preventive,4.0,6250.0,6850.0,Completed,2014-06-01,Electrical Team,Direct/Mapped/Derived/Inferred/Simulated from public Azure PdM maintenance events,True
4,LNG-GEN-009,2014-06-01,2,Preventive,4.0,3750.0,4350.0,Completed,2014-06-01,Electrical Team,Direct/Mapped/Derived/Inferred/Simulated from public Azure PdM maintenance events,True
5,LNG-PMP-011,2014-06-01,2,Preventive,4.0,3300.0,3900.0,Completed,2014-06-01,Mechanical Team A,Direct/Mapped/Derived/Inferred/Simulated from public Azure PdM maintenance events,True
6,LNG-PMP-016,2014-06-01,4,Preventive,3.0,880.0,1330.0,Completed,2014-06-01,Mechanical Team B,Direct/Mapped/Derived/Inferred/Simulated from public Azure PdM maintenance events,True
7,LNG-MTR-018,2014-06-01,8,Preventive,12.0,12000.0,13800.0,Completed,2014-06-02,Electrical Team,Direct/Mapped/Derived/Inferred/Simulated from public Azure PdM maintenance events,True
8,LNG-GEN-019,2014-06-01,4,Preventive,3.0,1000.0,1450.0,Completed,2014-06-01,Electrical Team,Direct/Mapped/Derived/Inferred/Simulated from public Azure PdM maintenance events,True
9,LNG-CWP-020,2014-06-01,1,Preventive,4.0,5500.0,6100.0,Completed,2014-06-01,Mechanical Team B,Direct/Mapped/Derived/Inferred/Simulated from public Azure PdM maintenance events,True
10,LNG-CWP-020,2014-06-01,2,Preventive,4.0,3300.0,3900.0,Completed,2014-06-01,Mechanical Team B,Direct/Mapped/Derived/Inferred/Simulated from public Azure PdM maintenance events,True
11,LNG-PMP-021,2014-06-01,8,Preventive,12.0,13200.0,15000.0,Completed,2014-06-02,Mechanical Team A,Direct/Mapped/Derived/Inferred/Simulated from public Azure PdM maintenance events,True
12,LNG-PMP-026,2014-06-01,2,Preventive,4.0,3300.0,3900.0,Completed,2014-06-01,Mechanical Team B,Direct/Mapped/Derived/Inferred/Simulated from public Azure PdM maintenance events,True
13,LNG-CMP-037,2014-06-01,2,Preventive,4.0,4500.0,5100.0,Completed,2014-06-01,Mechanical Team A,Direct/Mapped/Derived/Inferred/Simulated from public Azure PdM maintenance events,True
14,LNG-GEN-039,2014-06-01,1,Preventive,4.0,6250.0,6850.0,Completed,2014-06-01,Electrical Team,Direct/Mapped/Derived/Inferred/Simulated from public Azure PdM maintenance events,True
15,LNG-CWP-040,2014-06-01,2,Preventive,4.0,3300.0,3900.0,Completed,2014-06-01,Mechanical Team B,Direct/Mapped/Derived/Inferred/Simulated from public Azure PdM maintenance events,True
16,LNG-PMP-041,2014-06-01,2,Preventive,4.0,3300.0,3900.0,Completed,2014-06-01,Mechanical Team A,Direct/Mapped/Derived/Inferred/Simulated from public Azure PdM maintenance events,True
17,LNG-CMP-047,2014-06-01,4,Preventive,3.0,1200.0,1650.0,Completed,2014-06-01,Mechanical Team A,Direct/Mapped/Derived/Inferred/Simulated from public Azure PdM maintenance events,True
18,LNG-MTR-048,2014-06-01,8,Preventive,12.0,12000.0,13800.0,Completed,2014-06-02,Electrical Team,Direct/Mapped/Derived/Inferred/Simulated from public Azure PdM maintenance events,True
