PMRecordID,AssetID,PMDueDate,PMCompletedDate,PMCategory,PMFrequency,AssignedTeam,CompletionStatus,ScheduleStatus,DaysOverdue,DataOrigin,IsIllustrative
1,LNG-CMP-002,2024-01-01,2023-12-30,Inspection,Monthly,Mech,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
2,LNG-CMP-002,2024-02-01,2024-01-31,Lubrication,Monthly,Mech,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
3,LNG-CMP-002,2024-03-01,2024-02-27,Condition Monitoring,Monthly,I&C,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
4,LNG-CMP-002,2024-04-01,2024-03-30,Inspection,Monthly,Mech,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
5,LNG-CMP-002,2024-05-01,2024-04-28,Lubrication,Monthly,Mech,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
6,LNG-CMP-002,2024-06-01,2024-05-30,Condition Monitoring,Monthly,I&C,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
7,LNG-CMP-002,2024-07-01,,Inspection,Monthly,Mech,Cancelled,Upcoming,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
8,LNG-CMP-002,2024-08-01,2024-08-01,Lubrication,Monthly,Mech,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
9,LNG-CMP-002,2024-09-01,2024-08-30,Condition Monitoring,Monthly,I&C,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
10,LNG-CMP-002,2024-10-01,,Inspection,Monthly,Mech,Cancelled,Upcoming,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
11,LNG-CMP-002,2024-11-01,2024-10-30,Lubrication,Monthly,Mech,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
12,LNG-CMP-002,2024-12-01,2024-11-29,Condition Monitoring,Monthly,I&C,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
13,LNG-CMP-002,2025-01-01,2024-12-31,Inspection,Monthly,Mech,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
14,LNG-CMP-002,2025-02-01,2025-02-01,Lubrication,Monthly,Mech,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
15,LNG-CMP-002,2025-03-01,2025-02-28,Condition Monitoring,Monthly,I&C,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
16,LNG-CMP-002,2025-04-01,2025-03-29,Inspection,Monthly,Mech,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
17,LNG-CMP-002,2025-05-01,2025-05-01,Lubrication,Monthly,Mech,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
18,LNG-CMP-002,2025-06-01,2025-06-01,Condition Monitoring,Monthly,I&C,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
19,LNG-CMP-002,2025-07-01,2025-06-30,Inspection,Monthly,Mech,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
20,LNG-CMP-002,2025-08-01,2025-07-29,Lubrication,Monthly,Mech,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
21,LNG-CMP-002,2025-09-01,2025-08-31,Condition Monitoring,Monthly,I&C,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
22,LNG-CMP-002,2025-10-01,2025-09-29,Inspection,Monthly,Mech,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
23,LNG-CMP-002,2025-11-01,2025-11-01,Lubrication,Monthly,Mech,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
24,LNG-CMP-002,2025-12-01,2025-11-30,Condition Monitoring,Monthly,I&C,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
25,LNG-CMP-002,2026-01-01,2025-12-29,Inspection,Monthly,Mech,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
26,LNG-CMP-002,2026-02-01,2026-01-31,Lubrication,Monthly,Mech,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
27,LNG-CMP-002,2026-03-01,2026-02-28,Condition Monitoring,Monthly,I&C,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
28,LNG-CMP-002,2026-04-01,,Inspection,Monthly,Mech,Open,Overdue,101.0,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
29,LNG-CMP-002,2026-05-01,,Lubrication,Monthly,Mech,Open,Overdue,71.0,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
30,LNG-CMP-002,2026-06-01,,Condition Monitoring,Monthly,I&C,Open,Overdue,40.0,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
31,LNG-CMP-002,2026-07-01,2026-06-29,Inspection,Monthly,Mech,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
32,LNG-CMP-002,2026-08-01,,Lubrication,Monthly,Mech,Open,Upcoming,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
33,LNG-CMP-002,2026-09-01,,Condition Monitoring,Monthly,I&C,Open,Upcoming,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
34,LNG-CMP-002,2026-10-01,,Inspection,Monthly,Mech,Open,Upcoming,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
35,LNG-CMP-002,2026-11-01,,Lubrication,Monthly,Mech,Open,Upcoming,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
36,LNG-CMP-002,2026-12-01,,Condition Monitoring,Monthly,I&C,Open,Upcoming,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
37,LNG-CMP-007,2024-01-01,2024-01-01,Inspection,Monthly,Mech,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
38,LNG-CMP-007,2024-02-01,2024-01-31,Lubrication,Monthly,Mech,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
39,LNG-CMP-007,2024-03-01,2024-03-12,Condition Monitoring,Monthly,I&C,Completed,Completed Late,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
40,LNG-CMP-007,2024-04-01,2024-03-31,Inspection,Monthly,Mech,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
41,LNG-CMP-007,2024-05-01,2024-04-28,Lubrication,Monthly,Mech,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
42,LNG-CMP-007,2024-06-01,2024-05-31,Condition Monitoring,Monthly,I&C,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
43,LNG-CMP-007,2024-07-01,2024-07-01,Inspection,Monthly,Mech,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
44,LNG-CMP-007,2024-08-01,2024-08-01,Lubrication,Monthly,Mech,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
45,LNG-CMP-007,2024-09-01,2024-08-29,Condition Monitoring,Monthly,I&C,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
46,LNG-CMP-007,2024-10-01,2024-10-01,Inspection,Monthly,Mech,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
47,LNG-CMP-007,2024-11-01,2024-10-30,Lubrication,Monthly,Mech,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
48,LNG-CMP-007,2024-12-01,2024-11-28,Condition Monitoring,Monthly,I&C,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
49,LNG-CMP-007,2025-01-01,2025-01-01,Inspection,Monthly,Mech,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
50,LNG-CMP-007,2025-02-01,,Lubrication,Monthly,Mech,Open,Overdue,525.0,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
51,LNG-CMP-007,2025-03-01,2025-03-06,Condition Monitoring,Monthly,I&C,Completed,Completed Late,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
52,LNG-CMP-007,2025-04-01,,Inspection,Monthly,Mech,Open,Overdue,466.0,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
53,LNG-CMP-007,2025-05-01,,Lubrication,Monthly,Mech,Cancelled,Upcoming,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
54,LNG-CMP-007,2025-06-01,2025-06-02,Condition Monitoring,Monthly,I&C,Completed,Completed Late,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
55,LNG-CMP-007,2025-07-01,2025-07-12,Inspection,Monthly,Mech,Completed,Completed Late,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
56,LNG-CMP-007,2025-08-01,2025-08-11,Lubrication,Monthly,Mech,Completed,Completed Late,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
