source_dataset,incident_count,year,state_or_location_field_if_available,cause_category_if_available,incident_type_or_system_type_if_available,total_estimated_cost_if_available,fatalities_if_available,injuries_if_available,ignition_or_fire_field_if_available,release_or_leak_field_if_available,dashboard_risk_note
PHMSA Gas Transmission Incidents,15,2010,Not available,CORROSION FAILURE,TRANSMISSION SYSTEM,6648492,0,0,NO,LEAK,High reported cost group. Review consequence severity and controls.
PHMSA Gas Transmission Incidents,4,2010,OK,EQUIPMENT FAILURE,TRANSMISSION SYSTEM,305357,0,0,NO,OTHER,Mechanical integrity theme. Review cause category and asset context.
PHMSA Gas Transmission Incidents,3,2010,LA,MATERIAL FAILURE OF PIPE OR WELD,TRANSMISSION SYSTEM,1053748,0,0,NO,LEAK,High reported cost group. Review consequence severity and controls.
PHMSA Gas Transmission Incidents,3,2010,Not available,CORROSION FAILURE,OFFSHORE GATHERING,1067165,0,0,NO,LEAK,High reported cost group. Review consequence severity and controls.
PHMSA Gas Transmission Incidents,2,2010,AR,NATURAL FORCE DAMAGE,TRANSMISSION SYSTEM,16395,0,0,YES,LEAK,Ignition or fire indicator present. Review emergency response and prevention themes.
PHMSA Gas Transmission Incidents,2,2010,CA,EXCAVATION DAMAGE,TRANSMISSION SYSTEM,172512,0,0,NO,MECHANICAL PUNCTURE,Use for LNG-style incident risk awareness and trend review.
PHMSA Gas Transmission Incidents,2,2010,LA,CORROSION FAILURE,TRANSMISSION SYSTEM,121000,0,0,NO,LEAK,Mechanical integrity theme. Review cause category and asset context.
PHMSA Gas Transmission Incidents,2,2010,LA,EQUIPMENT FAILURE,TRANSMISSION SYSTEM,542112,0,0,NO,OTHER,Mechanical integrity theme. Review cause category and asset context.
PHMSA Gas Transmission Incidents,2,2010,Not available,OTHER INCIDENT CAUSE,TRANSMISSION SYSTEM,463606,0,0,NO,OTHER,Use for LNG-style incident risk awareness and trend review.
PHMSA Gas Transmission Incidents,2,2010,TN,MATERIAL FAILURE OF PIPE OR WELD,TRANSMISSION SYSTEM,118964,0,0,NO,LEAK,Mechanical integrity theme. Review cause category and asset context.
PHMSA Gas Transmission Incidents,2,2010,TX,CORROSION FAILURE,TRANSMISSION SYSTEM,164134,0,0,NO,LEAK,Mechanical integrity theme. Review cause category and asset context.
PHMSA Gas Transmission Incidents,2,2010,TX,OTHER INCIDENT CAUSE,TRANSMISSION SYSTEM,246448,0,0,NO,LEAK,Use for LNG-style incident risk awareness and trend review.
PHMSA Gas Transmission Incidents,1,2010,AL,OTHER INCIDENT CAUSE,TRANSMISSION SYSTEM,235187,0,0,YES,OTHER,Ignition or fire indicator present. Review emergency response and prevention themes.
PHMSA Gas Transmission Incidents,1,2010,AR,CORROSION FAILURE,TRANSMISSION SYSTEM,241669,0,0,NO,RUPTURE,Mechanical integrity theme. Review cause category and asset context.
